Id;Entity type;Created by;Created date;Last changed by;Last changed;Dataset;Show in dataset;Status;Name;Alternative name;Other name;Not recommended name;Disambiguation;Description;Technical description;Sequence number;Code;History;Part of collection;Building type;Time;Measurement;Activity;Heritage designation;Has part;Is part of;Was part of at time;Had part at time;Events;Same As;Same As (URL);Same as (internal);See also;Owned by;Replaced by;Replaces;Note;Free Note;Internal note;Topic;Semantic Note;Reference;Web reference;Alternative id;Editorial note;History note;Change note;Place holder;Source URI;Source URL;License;Attribution;Attribution URL
ef9699f9-ae24-4753-8510-c1d9e0fb7989;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:50;6c9f4972-d510-4e68-a525-18e8a3ff27f0;10/10/2018 10:53:30;"Skansens byggnader (Skansen) [sv]";;"Published";"Västerängsstugan, Delsbogården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Delsbogården, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 46676|Skansen Primus Identifikationsnummer: SKABYG.0031401";;;;"No";;;"Public Domain Dedication (CC0)";;
5871a647-2810-4da7-a7fa-fc5743c7296b;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:59;6c9f4972-d510-4e68-a525-18e8a3ff27f0;08/04/2019 10:39:50;"Skansens byggnader (Skansen) [sv]";;"Published";"Västra loglängan, Oktorpsgården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Oktorpsgården, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67295|Skansen Primus Identifikationsnummer: SKABYG.0070102";;;;"No";;;"Public Domain Dedication (CC0)";;
a341874e-d91f-4024-b3a6-61c8435c2557;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:49:02;6c9f4972-d510-4e68-a525-18e8a3ff27f0;09/10/2018 13:54:19;"Skansens byggnader (Skansen) [sv]";;"Published";"Västra loglängan, Skånegården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Skånegården, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67444|Skansen Primus Identifikationsnummer: SKABYG.0070602";;;;"No";;;"Public Domain Dedication (CC0)";;
99e625c8-c4e7-4ad4-8593-6ad47cb16061;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:49:07;6c9f4972-d510-4e68-a525-18e8a3ff27f0;25/09/2018 11:20:30;"Skansens byggnader (Skansen) [sv]";;"Published";"Västra paviljongen, Skogaholms herrgård, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Skogaholm, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67335|Skansen Primus Identifikationsnummer: SKABYG.0080805";;;;"No";;;"Public Domain Dedication (CC0)";;
397af998-5263-468e-aeb8-cd67d1038c83;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:49;7b89c094-da28-4fdb-bcd2-ce0db0df923e;26/09/2017 15:59:09;"Skansens byggnader (Skansen) [sv]";;"Published";"Vastveitloftet, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Vastveitloftet, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 42266|Skansen Primus Identifikationsnummer: SKABYG.0031201";;;;"No";;;"Public Domain Dedication (CC0)";;
832eaba2-0549-43c6-95f7-a2d6e7ee0e03;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:49:00;6c9f4972-d510-4e68-a525-18e8a3ff27f0;08/04/2019 11:02:17;"Skansens byggnader (Skansen) [sv]";;"Published";"Vedboden, Oktorpsgården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Oktorpsgården, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67301|Skansen Primus Identifikationsnummer: SKABYG.0070108";;;;"No";;;"Public Domain Dedication (CC0)";;
34072c3b-3824-48e7-a163-6819b9c4679f;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:33;6c9f4972-d510-4e68-a525-18e8a3ff27f0;08/04/2019 14:05:52;"Skansens byggnader (Skansen) [sv]";;"Published";"Verkstaden, Glashyttan, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Glashyttan, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 42251|Skansen Primus Identifikationsnummer: SKABYG.0011502";;;;"No";;;"Public Domain Dedication (CC0)";;
7e18f21f-9594-4e77-bf76-379bcae09351;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:43;6c9f4972-d510-4e68-a525-18e8a3ff27f0;25/02/2019 15:40:43;"Skansens byggnader (Skansen) [sv]";;"Published";"Vikaladan, Moragården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Moragården, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67281|Skansen Primus Identifikationsnummer: SKABYG.0030508";;;;"No";;;"Public Domain Dedication (CC0)";;
63a24bc3-204f-4c43-b4b4-1dd73002c22e;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:49:00;7b89c094-da28-4fdb-bcd2-ce0db0df923e;26/09/2017 15:59:09;"Skansens byggnader (Skansen) [sv]";;"Published";"Virserumsboden, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;;"Virserumsboden, Skansen (Museal byggnadsmiljö) [sv]";;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 67494|Skansen Primus Identifikationsnummer: SKABYG.0070201";;;;"No";;;"Public Domain Dedication (CC0)";;
96823f20-6855-4ce6-afd8-1e632376d182;Building;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:48:56;d60be37a-1a45-4aa8-819b-4db938095dda;12/07/2022 09:26:31;"Skansens byggnader (Skansen) [sv]";;"Published";"Yrstatorpsboden, Bergsmansgården, Skansen [sv]";;;;;;;;;;;"Museal byggnad [sv]";;;;;"";"Bergsmansgården, Skansen (Museal byggnadsmiljö) [sv]";;;;;"https://www.wikidata.org/wiki/Q60557894";;;;;;;;;;;;;"Skansen Primus ObjektId: 42622|Skansen Primus Identifikationsnummer: SKABYG.0060203";;;;"No";;;"Public Domain Dedication (CC0)";;
